@relation ObtainTorque

@attribute node numeric
@attribute torque numeric
@attribute distance numeric

@data
1,300,2.955244
1,360,2.55362
1,420,2.822816
1,480,2.713197
1,540,2.690825
1,600,2.558821
1,660,1.567059
1,300,2.974002
1,360,17.114607
1,420,16.687838
1,480,18.095535
1,540,15.928802
1,600,15.891015
1,660,18.664404
1,300,13.687687
1,360,16.650063
1,420,42.983227
1,480,44.01973
1,540,42.491322
1,600,42.403427
1,660,43.202789
1,300,77.294205
1,360,75.393761
1,420,77.760406
1,480,75.593323
1,540,77.215912
1,600,79.298416
1,660,78.412361
1,300,13.542094
1,360,16.676771
1,420,116.169708
1,480,116.670609
1,540,2.887221
1,600,115.695175
1,660,118.608986
1,300,13.810533
1,360,16.674284
1,420,162.791656
1,480,161.640945
1,540,159.659546
1,600,160.653244
1,660,159.243088
1,300,83.308861
1,360,221.442245
1,420,223.448364
1,480,226.800919
1,540,222.367081
1,600,221.517532
1,660,223.363647
1,300,83.010368
1,360,290.414734
1,420,292.582764
1,480,291.364624
1,540,220.804001
1,600,16.65765
1,660,291.075684
1,300,84.301643
1,360,312.454254
1,420,312.894135
1,480,313.521667
1,540,265.971924
1,600,13.351622
1,660,16.658966
1,300,52.473476
1,360,315.233093
1,420,315.308899
1,480,315.234222
1,540,283.15329
1,600,16.657242
1,660,315.177612
1,300,13.736001
1,360,16.674252
1,420,309.013031
1,480,308.908539
1,540,266.06131
1,600,16.685764
1,660,308.712128
1,300,17.869928
1,360,331.742371
1,420,330.839172
1,480,331.873871
1,540,267.193573
1,600,13.339141
1,660,16.659334
1,300,84.328293
1,360,372.366913
1,420,375.273865
1,480,372.765564
1,540,270.86618
1,600,281.092529
1,660,373.771515
1,300,83.692734
1,360,435.119965
1,420,435.615723
1,480,433.184113
1,540,266.503357
1,600,15.161548
1,660,435.263702
1,300,17.884626
1,360,466.857574
1,420,13.508347
1,480,16.665865
1,540,266.329681
1,600,12.745884
1,660,16.584394
1,300,84.750214
1,360,2.828992
1,420,452.511536
1,480,451.983398
1,540,266.428162
1,600,13.34629
1,660,16.665403
1,300,83.60553
1,360,436.612579
1,420,434.42218
1,480,438.090454
1,540,268.222656
1,600,12.967781
1,660,16.646582
1,300,83.359978
1,360,386.205017
1,420,387.94281
1,480,383.060181
1,540,272.365112
1,600,221.224579
1,660,16.647125
1,300,83.024178
1,360,321.500244
1,420,322.801056
